Data,Valor,ano,mes,nome_mes
2024-05-13,84.95,2024,5,Maio
2024-05-14,85.25,2024,5,Maio
2024-05-15,84.82,2024,5,Maio
2024-05-16,84.95,2024,5,Maio
2024-05-17,85.56,2024,5,Maio
2024-05-20,86.8,2024,5,Maio
2024-05-21,87.21,2024,5,Maio
2024-05-22,86.86,2024,5,Maio
2024-05-23,87.05,2024,5,Maio
2024-05-24,87.69,2024,5,Maio
2024-05-27,88.91,2024,5,Maio
2024-05-28,89.27,2024,5,Maio
2024-05-29,88.86,2024,5,Maio
2024-05-30,88.97,2024,5,Maio
2024-05-31,89.52,2024,5,Maio
2024-06-03,90.41,2024,6,Junho
2024-06-04,90.65,2024,6,Junho
2024-06-05,90.1,2024,6,Junho
2024-06-06,90.08,2024,6,Junho
2024-06-07,90.5,2024,6,Junho
2024-06-10,90.99,2024,6,Junho
2024-06-11,91.09,2024,6,Junho
2024-06-12,90.42,2024,6,Junho
2024-06-13,90.27,2024,6,Junho
2024-06-14,90.57,2024,6,Junho
2024-06-17,90.7,2024,6,Junho
2024-06-18,90.7,2024,6,Junho
2024-06-19,89.93,2024,6,Junho
2024-06-20,89.69,2024,6,Junho
2024-06-21,89.9,2024,6,Junho
2024-06-24,89.83,2024,6,Junho
2024-06-25,89.79,2024,6,Junho
2024-06-26,88.98,2024,6,Junho
2024-06-27,88.71,2024,6,Junho
2024-06-28,88.91,2024,6,Junho
2024-07-01,88.9,2024,7,Julho
2024-07-02,88.9,2024,7,Julho
2024-07-03,88.15,2024,7,Julho
2024-07-04,87.96,2024,7,Julho
2024-07-05,88.24,2024,7,Julho
2024-07-08,88.53,2024,7,Julho
2024-07-09,88.64,2024,7,Julho
2024-07-10,88.0,2024,7,Julho
2024-07-11,87.93,2024,7,Julho
2024-07-12,88.33,2024,7,Julho
2024-07-15,88.92,2024,7,Julho
2024-07-16,89.11,2024,7,Julho
2024-07-17,88.54,2024,7,Julho
2024-07-18,88.51,2024,7,Julho
2024-07-19,88.94,2024,7,Julho
2024-07-22,89.49,2024,7,Julho
2024-07-23,89.62,2024,7,Julho
2024-07-24,88.98,2024,7,Julho
2024-07-25,88.85,2024,7,Julho
2024-07-26,89.15,2024,7,Julho
2024-07-29,89.25,2024,7,Julho
2024-07-30,89.21,2024,7,Julho
2024-07-31,88.38,2024,7,Julho
2024-08-01,88.06,2024,8,Agosto
2024-08-02,88.18,2024,8,Agosto
2024-08-05,87.77,2024,8,Agosto
2024-08-06,87.58,2024,8,Agosto
2024-08-07,86.62,2024,8,Agosto
2024-08-08,86.2,2024,8,Agosto
2024-08-09,86.24,2024,8,Agosto
